epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.1164,5.4771,5.26546,4.24908,0,0,0,0,5.88402,4.3101,4.15941,8.335e-05,8.335e-05,8.335e-05
2,3.29617,5.45321,5.1134,4.19586,0,0,0,0,5.88107,4.30548,4.15713,0.00018216,0.00018216,0.00018216
3,4.38576,5.76311,5.12743,4.05759,0,0,0,0,5.87719,4.30385,4.15395,0.000279649,0.000279649,0.000279649
4,5.46703,5.05552,4.71571,3.8825,0,0,0,0,5.87309,4.30089,4.14994,0.000375818,0.000375818,0.000375818
5,6.53706,4.42818,4.06434,3.70853,0,0,0,0,5.86852,4.30747,4.14832,0.000470667,0.000470667,0.000470667
6,7.58725,4.08506,3.77146,3.52435,0,0,0,0,5.86902,4.315,4.15059,0.000564196,0.000564196,0.000564196
7,8.63638,3.38832,3.38979,3.23115,0,0,0,0,5.87519,4.18786,4.16157,0.000656405,0.000656405,0.000656405
8,9.68462,3.4341,3.29576,3.00991,0,0,0,0,5.88493,4.15809,4.1761,0.000747293,0.000747293,0.000747293
9,10.7384,3.09537,2.88979,2.72968,0,0,0,0,5.88503,4.15387,4.17692,0.000836861,0.000836861,0.000836861
10,11.7638,2.86517,2.83541,2.71188,0,0,0,0,5.87989,4.16207,4.17001,0.000925108,0.000925108,0.000925108
11,12.8021,2.91991,2.64069,2.65612,0,0,0,0,5.86758,4.16602,4.15832,0.00101204,0.00101204,0.00101204
12,13.827,2.67636,2.59675,2.48695,0,0,0,0,5.84868,4.16553,4.13635,0.00109764,0.00109764,0.00109764
13,14.8638,2.67813,2.49964,2.42786,0,0,0,0,5.75467,4.14575,4.02661,0.00118193,0.00118193,0.00118193
14,15.9105,2.73388,2.48896,2.45228,0,0,0,0,5.63204,4.12231,3.90359,0.0012649,0.0012649,0.0012649
15,17.0203,2.58763,2.3085,2.28097,0,0,0,0,5.45074,4.07573,3.75083,0.00134654,0.00134654,0.00134654
16,18.093,2.53975,2.44013,2.25012,0,0,0,0,5.2249,4.05637,3.62104,0.00142687,0.00142687,0.00142687
17,19.147,2.56817,2.37732,2.17003,0,0,0,0,5.16351,4.05633,3.60233,0.00149096,0.00149096,0.00149096
18,20.22,2.48427,2.29433,2.09512,0.00455,0.12,0.00292,0.00037,4.84023,3.95666,3.50601,0.00147996,0.00147996,0.00147996
19,21.2595,2.34508,2.22509,2.08565,0.0097,0.28,0.06354,0.0168,4.44321,3.77658,3.35747,0.00146896,0.00146896,0.00146896
20,22.3405,2.38025,2.18872,2.06646,0.01852,0.56,0.1168,0.0473,3.91343,3.23097,3.01935,0.00145796,0.00145796,0.00145796
21,23.3961,2.30669,2.07168,1.97776,0.44147,0.08,0.15422,0.06689,3.53982,2.84003,2.81356,0.00144696,0.00144696,0.00144696
22,24.5002,2.30085,2.0803,1.96602,0.66504,0.47669,0.56491,0.22781,2.3992,2.08679,2.2415,0.00143595,0.00143595,0.00143595
23,25.5601,2.22419,2.05309,1.87368,0.71522,0.50287,0.59007,0.25625,2.40298,2.03314,2.2202,0.00142495,0.00142495,0.00142495
24,26.6474,2.26112,1.92602,1.8585,0.67517,0.33327,0.45871,0.14406,3.04568,2.20235,2.51392,0.00141395,0.00141395,0.00141395
25,27.7188,2.12746,1.88399,1.85482,0.53392,0.36,0.41983,0.14127,2.90207,2.13069,2.47646,0.00140295,0.00140295,0.00140295
26,28.7903,2.0607,1.8802,1.77799,0.77451,0.68,0.76296,0.21305,2.50408,1.64749,2.22901,0.00139195,0.00139195,0.00139195
27,29.8451,2.06424,1.86994,1.74762,0.85664,0.71716,0.83753,0.21325,2.49088,1.6409,2.18779,0.00138094,0.00138094,0.00138094
28,30.9218,2.1269,1.77042,1.73133,0.9145,0.68,0.82108,0.25202,2.44963,1.6498,2.1755,0.00136994,0.00136994,0.00136994
29,32.0548,2.07988,1.7305,1.69895,0.90781,0.78821,0.91066,0.37409,2.03808,1.43748,1.99248,0.00135894,0.00135894,0.00135894
30,33.1524,2.05523,1.76807,1.72366,0.95748,0.90113,0.95185,0.38504,1.93133,1.33319,1.88417,0.00134794,0.00134794,0.00134794
31,34.2114,1.98452,1.72947,1.69934,0.92865,0.92,0.95368,0.26983,2.40786,1.48652,2.1111,0.00133693,0.00133693,0.00133693
32,35.2862,2.06041,1.68734,1.73406,0.95819,0.91681,0.91061,0.22311,2.52165,1.41216,2.17126,0.00132593,0.00132593,0.00132593
33,36.3623,2.09217,1.76344,1.7019,0.98583,0.96,0.95572,0.35053,2.00952,1.40099,1.90839,0.00131493,0.00131493,0.00131493
