epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.75216,5.4771,5.26546,4.24908,0,0,0,0,5.88402,4.3101,4.15941,8.335e-05,8.335e-05,8.335e-05
2,2.88664,5.45527,5.11449,4.19566,0,0,0,0,5.88107,4.30548,4.15713,0.000182333,0.000182333,0.000182333
3,3.98633,5.76795,5.1287,4.0569,0,0,0,0,5.8772,4.30373,4.15349,0.000280184,0.000280184,0.000280184
4,5.046,5.04646,4.73228,3.88096,0,0,0,0,5.87309,4.30089,4.14994,0.000376903,0.000376903,0.000376903
5,6.12887,4.38375,4.06569,3.70756,0,0,0,0,5.8685,4.30729,4.14821,0.000472491,0.000472491,0.000472491
6,7.19052,4.04278,3.75902,3.5109,0,0,0,0,5.86903,4.31498,4.1511,0.000566947,0.000566947,0.000566947
7,8.27563,3.3669,3.34117,3.23883,0,0,0,0,5.87519,4.17956,4.16119,0.000660271,0.000660271,0.000660271
8,9.36636,3.40405,3.23168,2.99784,0,0,0,0,5.88426,4.15539,4.17285,0.000752464,0.000752464,0.000752464
9,10.4552,3.08996,2.87951,2.71695,0,0,0,0,5.88144,4.14908,4.17015,0.000843525,0.000843525,0.000843525
10,11.506,2.91991,2.83815,2.70523,0,0,0,0,5.86778,4.15492,4.15603,0.000933454,0.000933454,0.000933454
11,12.5396,2.80459,2.59902,2.5951,0,0,0,0,5.84134,4.15824,4.12264,0.00102225,0.00102225,0.00102225
12,13.577,2.64637,2.57869,2.46418,0,0,0,0,5.8157,4.16223,4.09734,0.00110992,0.00110992,0.00110992
13,14.6136,2.69195,2.53608,2.44132,0,0,0,0,5.7566,4.15758,4.03631,0.00119645,0.00119645,0.00119645
14,15.6544,2.58587,2.40615,2.34435,0,0,0,0,5.60006,4.1407,3.89564,0.00128186,0.00128186,0.00128186
15,16.675,2.55925,2.2637,2.18596,0,0,0,0,5.51039,4.13502,3.83225,0.00136613,0.00136613,0.00136613
16,17.7081,2.50674,2.29453,2.17319,0,0,0,0,5.34791,4.12666,3.74217,0.00144927,0.00144927,0.00144927
17,18.7108,2.47325,2.21413,2.07827,0,0,0,0,5.23864,4.10734,3.6909,0.00151611,0.00151611,0.00151611
18,19.7546,2.34567,2.12234,1.99998,0.00315,0.08,0.0017,0.00025,4.79613,4.02065,3.50727,0.00150668,0.00150668,0.00150668
19,20.7801,2.2761,2.10263,2.07417,0.00913,0.24,0.00721,0.0028,4.12903,3.81001,3.26364,0.00149725,0.00149725,0.00149725
20,21.8128,2.29243,2.01945,1.98525,0.03,0.84,0.32459,0.13138,2.86423,3.01143,2.65815,0.00148782,0.00148782,0.00148782
21,22.8585,2.20338,2.00343,1.90865,0.03134,0.88,0.41734,0.15898,2.78839,2.81449,2.56662,0.00147839,0.00147839,0.00147839
22,23.9499,2.19179,1.927,1.90219,0.63629,0.32,0.55086,0.11801,3.23585,2.46421,2.60454,0.00146896,0.00146896,0.00146896
23,24.9717,2.20654,1.89237,1.85842,0.78098,0.32,0.58812,0.17395,2.97287,2.2582,2.45453,0.00145953,0.00145953,0.00145953
24,26.0509,2.14626,1.81717,1.80014,0.84425,0.64,0.76275,0.23674,2.64694,1.77794,2.23995,0.0014501,0.0014501,0.0014501
25,27.0865,2.12637,1.8288,1.82916,0.88515,0.61709,0.75516,0.1819,2.80359,1.8043,2.32271,0.00144067,0.00144067,0.00144067
26,28.1635,2.09545,1.81204,1.76663,1,0.54233,0.68177,0.19389,2.62124,1.82343,2.23901,0.00143124,0.00143124,0.00143124
27,29.2174,2.10652,1.78872,1.75137,0.81052,0.6846,0.77623,0.25784,2.29394,1.7193,2.08382,0.00142181,0.00142181,0.00142181
28,30.29,2.12296,1.70091,1.73133,0.79404,0.77139,0.8769,0.28501,2.18231,1.54611,2.01814,0.00141238,0.00141238,0.00141238
29,31.3112,2.01951,1.67808,1.68185,0.8451,0.88,0.91515,0.34468,2.04552,1.47561,1.94841,0.00140295,0.00140295,0.00140295
30,32.3722,1.99097,1.72754,1.70633,0.95838,0.92108,0.96878,0.39667,1.86293,1.42312,1.80345,0.00139352,0.00139352,0.00139352
31,33.4174,1.95594,1.72111,1.68215,0.92266,0.95456,0.95403,0.40676,1.83571,1.4046,1.76794,0.00138409,0.00138409,0.00138409
32,34.4918,1.92464,1.65953,1.6537,0.85894,0.76,0.81602,0.34681,1.86197,1.47067,1.82065,0.00137466,0.00137466,0.00137466
33,35.5589,1.99098,1.70403,1.65282,0.72992,0.76,0.75616,0.33503,1.79966,1.52819,1.81685,0.00136523,0.00136523,0.00136523
34,36.6274,1.94817,1.6684,1.56962,0.9132,0.84174,0.92985,0.43853,1.68919,1.2413,1.72181,0.00135579,0.00135579,0.00135579
35,37.664,1.92052,1.65718,1.58688,0.95822,0.91752,0.96202,0.44937,1.72873,1.26146,1.70843,0.00134636,0.00134636,0.00134636
36,38.7277,1.88981,1.55578,1.63713,0.99437,0.96,0.98833,0.50551,1.56547,1.07214,1.59774,0.00133693,0.00133693,0.00133693
37,39.7475,1.85858,1.5386,1.57697,0.99071,0.96,0.98357,0.44243,1.69253,1.14965,1.66098,0.0013275,0.0013275,0.0013275
38,40.7928,1.81691,1.58674,1.57555,0.70774,0.77525,0.74645,0.30255,2.03485,1.50216,1.83815,0.00131807,0.00131807,0.00131807
39,41.8149,1.88708,1.5677,1.56553,0.80351,0.8,0.83804,0.37681,1.77974,1.44936,1.68915,0.00130864,0.00130864,0.00130864
40,42.8758,1.88179,1.59384,1.62202,0.89799,0.84,0.90923,0.48731,1.5405,1.29583,1.55306,0.00129921,0.00129921,0.00129921
41,43.915,1.82782,1.51347,1.58217,0.84085,0.8455,0.93008,0.44935,1.65092,1.37894,1.62596,0.00128978,0.00128978,0.00128978
42,44.966,1.79161,1.45463,1.53918,0.99622,0.96,0.98726,0.52511,1.54658,1.04207,1.53374,0.00128035,0.00128035,0.00128035
43,46.0174,1.83082,1.54755,1.59959,1,0.94178,0.99071,0.61786,1.36675,0.94947,1.41058,0.00127092,0.00127092,0.00127092
44,47.072,1.83885,1.45443,1.54184,0.9159,0.87151,0.93205,0.49066,1.54178,1.20829,1.54984,0.00126149,0.00126149,0.00126149
45,48.0854,1.75154,1.45592,1.48499,0.80103,0.88,0.9066,0.45279,1.63013,1.21898,1.62852,0.00125206,0.00125206,0.00125206
46,49.1366,1.75222,1.52276,1.46927,0.69001,0.76,0.77811,0.44246,1.52233,1.3354,1.54518,0.00124263,0.00124263,0.00124263
47,50.1555,1.81485,1.45796,1.47837,0.69288,0.76,0.78461,0.47817,1.46751,1.31749,1.50975,0.0012332,0.0012332,0.0012332
48,51.2065,1.71884,1.36943,1.47485,0.95711,0.89308,0.94916,0.54407,1.41199,1.15892,1.48201,0.00122377,0.00122377,0.00122377
49,52.244,1.73842,1.45566,1.41918,1,0.91115,0.9775,0.54747,1.36427,1.0643,1.45212,0.00121434,0.00121434,0.00121434
50,53.2981,1.72818,1.35174,1.46236,0.95386,0.88,0.96311,0.54765,1.40286,1.07284,1.4704,0.00120491,0.00120491,0.00120491
51,54.3503,1.73623,1.36933,1.42914,0.95089,0.77492,0.92716,0.4922,1.48805,1.13043,1.53398,0.00119548,0.00119548,0.00119548
52,55.4116,1.66939,1.34508,1.40485,0.88493,0.76,0.88471,0.52975,1.39821,1.1532,1.48919,0.00118605,0.00118605,0.00118605
53,56.4427,1.72078,1.37328,1.49921,0.84898,0.76,0.86224,0.50488,1.38406,1.30745,1.47772,0.00117662,0.00117662,0.00117662
54,57.4904,1.68513,1.43911,1.54484,0.95967,0.9521,0.99044,0.4114,1.80797,1.15211,1.64831,0.00116719,0.00116719,0.00116719
55,58.533,1.83747,1.43178,1.44489,1,0.99793,0.995,0.47897,1.64093,0.94919,1.5427,0.00115776,0.00115776,0.00115776
56,59.6191,1.7734,1.49744,1.44196,0.98702,1,0.995,0.60784,1.43464,0.88645,1.42707,0.00114832,0.00114832,0.00114832
57,60.6989,1.87994,1.3938,1.53816,0.95147,0.96,0.98244,0.57377,1.43019,0.96132,1.41868,0.00113889,0.00113889,0.00113889
58,61.7587,1.77024,1.36451,1.47916,0.7031,0.92,0.84213,0.41249,1.6171,1.37238,1.57727,0.00112946,0.00112946,0.00112946
59,62.8016,1.74808,1.37206,1.41499,0.78739,0.92,0.90753,0.43386,1.68029,1.32238,1.60827,0.00112003,0.00112003,0.00112003
60,63.84,1.67717,1.32024,1.41864,1,0.98216,0.995,0.54016,1.45553,0.95574,1.45188,0.0011106,0.0011106,0.0011106
61,64.8898,1.7206,1.38466,1.46595,0.9946,1,0.995,0.54257,1.42816,0.90048,1.43455,0.00110117,0.00110117,0.00110117
62,65.9808,1.67899,1.34257,1.35992,0.98027,1,0.995,0.5348,1.51699,0.95183,1.48138,0.00109174,0.00109174,0.00109174
63,67.0621,1.65384,1.31007,1.38477,0.97964,0.84,0.96977,0.54412,1.47635,1.04599,1.47038,0.00108231,0.00108231,0.00108231
64,68.1231,1.7194,1.28582,1.34683,0.83934,0.88,0.91234,0.51371,1.48209,1.1636,1.47936,0.00107288,0.00107288,0.00107288
65,69.1902,1.70789,1.32113,1.38771,0.8569,0.92,0.94892,0.53129,1.54557,1.07225,1.50264,0.00106345,0.00106345,0.00106345
66,70.2433,1.69799,1.29217,1.43266,0.99293,0.96,0.99346,0.53556,1.5493,0.91142,1.49086,0.00105402,0.00105402,0.00105402
67,71.2909,1.62629,1.17925,1.4157,1,0.98512,0.995,0.52576,1.53197,0.87987,1.48398,0.00104459,0.00104459,0.00104459
68,72.3666,1.66114,1.26938,1.44576,0.9909,1,0.995,0.52726,1.55234,0.87633,1.51003,0.00103516,0.00103516,0.00103516
69,73.42,1.62617,1.18246,1.33446,0.99876,1,0.995,0.54139,1.55888,0.943,1.51132,0.00102573,0.00102573,0.00102573
70,74.4959,1.64485,1.21173,1.37849,0.85285,0.96,0.94266,0.56402,1.4165,1.15089,1.43125,0.0010163,0.0010163,0.0010163
71,75.5555,1.64634,1.29909,1.38668,0.85245,0.92454,0.94155,0.56862,1.3802,1.09006,1.40073,0.00100687,0.00100687,0.00100687
72,76.6305,1.58373,1.10227,1.33998,0.99956,0.92,0.98389,0.59638,1.36776,0.85109,1.40354,0.000997438,0.000997438,0.000997438
73,77.7095,1.61832,1.27369,1.38413,0.98504,0.92,0.98504,0.55947,1.40902,0.83649,1.43369,0.000988007,0.000988007,0.000988007
74,78.7634,1.66454,1.23199,1.34386,0.883,0.88,0.92353,0.50207,1.56395,1.06764,1.52503,0.000978577,0.000978577,0.000978577
75,79.8201,1.60666,1.16294,1.34556,0.81149,0.86135,0.87331,0.44841,1.60802,1.27012,1.55645,0.000969146,0.000969146,0.000969146
76,80.8819,1.60298,1.19567,1.36513,0.94649,0.92,0.95978,0.5246,1.55904,0.97639,1.52046,0.000959716,0.000959716,0.000959716
77,81.9302,1.61616,1.21808,1.40917,0.95217,0.92,0.98359,0.59671,1.41784,0.82719,1.42661,0.000950285,0.000950285,0.000950285
78,83.0203,1.58272,1.14124,1.33616,0.99734,0.96,0.99346,0.59892,1.44329,0.79421,1.45624,0.000940855,0.000940855,0.000940855
79,84.0669,1.62382,1.21029,1.35282,0.95785,1,0.99346,0.58646,1.47387,0.92449,1.47385,0.000931424,0.000931424,0.000931424
80,85.1482,1.61239,1.16699,1.32609,0.95994,0.95858,0.98577,0.54176,1.54473,1.16525,1.52319,0.000921994,0.000921994,0.000921994
81,86.2063,1.56187,1.12517,1.32076,0.96,0.95994,0.98423,0.58811,1.43167,1.14912,1.45229,0.000912563,0.000912563,0.000912563
82,87.2868,1.61195,1.1303,1.38765,0.96098,0.98552,0.98269,0.57264,1.47132,1.01454,1.47513,0.000903133,0.000903133,0.000903133
83,88.3455,1.52486,1.15305,1.33054,0.9559,1,0.98885,0.57603,1.4075,0.91895,1.44347,0.000893703,0.000893703,0.000893703
84,89.4317,1.59582,1.15267,1.28312,0.94522,1,0.98577,0.59114,1.33605,0.90182,1.39059,0.000884272,0.000884272,0.000884272
85,90.5006,1.5733,1.09302,1.33412,0.95201,1,0.98115,0.56865,1.41979,0.95422,1.44327,0.000874842,0.000874842,0.000874842
86,91.5988,1.59092,1.09941,1.31769,0.96106,0.98767,0.98885,0.49952,1.69165,0.90146,1.61022,0.000865411,0.000865411,0.000865411
87,92.7056,1.59565,1.12047,1.32542,0.96126,0.99276,0.99346,0.52503,1.53594,0.82045,1.52347,0.000855981,0.000855981,0.000855981
88,93.7914,1.50944,1.08567,1.28324,0.99345,0.96,0.99346,0.6036,1.34928,0.76354,1.38412,0.00084655,0.00084655,0.00084655
89,94.8491,1.57777,1.13074,1.33237,1,0.95522,0.99204,0.60507,1.39208,0.82107,1.42054,0.00083712,0.00083712,0.00083712
90,95.9548,1.52495,1.0727,1.30445,0.91966,1,0.97769,0.52333,1.62368,0.92197,1.57219,0.000827689,0.000827689,0.000827689
91,97.025,1.68987,1.14136,1.39941,0.90758,1,0.97638,0.52445,1.55725,0.89283,1.53615,0.000818259,0.000818259,0.000818259
92,98.1319,1.52658,1.02396,1.28191,0.85948,0.97895,0.97069,0.53801,1.52114,0.88071,1.47913,0.000808828,0.000808828,0.000808828
93,99.2155,1.61095,1.12163,1.34505,0.83089,0.98297,0.96367,0.54093,1.49245,0.91715,1.46591,0.000799398,0.000799398,0.000799398
94,100.312,1.52878,1.06795,1.32118,0.91198,0.84,0.94795,0.49483,1.59101,0.95111,1.54063,0.000789967,0.000789967,0.000789967
95,101.383,1.61995,1.03051,1.29311,0.9271,0.84,0.94594,0.49677,1.67384,0.92058,1.57741,0.000780537,0.000780537,0.000780537
96,102.469,1.48908,0.97312,1.2406,0.90227,0.88,0.93994,0.52198,1.54286,0.91578,1.48552,0.000771107,0.000771107,0.000771107
97,103.531,1.52301,0.96332,1.27463,0.90784,0.88,0.92997,0.52694,1.51329,0.95985,1.467,0.000761676,0.000761676,0.000761676
98,104.6,1.49585,0.99229,1.27358,0.90058,0.88,0.93089,0.51269,1.54209,0.95438,1.4934,0.000752246,0.000752246,0.000752246
99,105.674,1.48208,0.97743,1.23324,0.9087,0.88,0.95961,0.52951,1.53789,0.89166,1.49307,0.000742815,0.000742815,0.000742815
100,106.773,1.49138,0.98917,1.31245,1,0.91756,0.98566,0.57839,1.40146,0.79398,1.42485,0.000733385,0.000733385,0.000733385
101,107.846,1.54384,1.00191,1.30167,0.93598,0.96,0.99044,0.58149,1.40244,0.80359,1.41533,0.000723954,0.000723954,0.000723954
102,108.933,1.53101,0.97203,1.31191,0.96075,0.97963,0.99346,0.51373,1.60118,0.92857,1.52246,0.000714524,0.000714524,0.000714524
103,109.993,1.54012,0.98382,1.27264,0.98103,1,0.995,0.53756,1.51305,0.81602,1.4817,0.000705093,0.000705093,0.000705093
104,111.088,1.46621,0.93245,1.24819,1,0.95088,0.99346,0.54268,1.48618,0.76125,1.4594,0.000695663,0.000695663,0.000695663
105,112.174,1.56126,1.04094,1.30335,1,0.95397,0.99346,0.57905,1.43962,0.7539,1.44414,0.000686232,0.000686232,0.000686232
106,113.268,1.48553,0.93947,1.24491,0.95932,0.94357,0.99192,0.51251,1.69003,1.04796,1.58517,0.000676802,0.000676802,0.000676802
107,114.366,1.5405,1.0228,1.29145,0.92962,0.92,0.9843,0.49497,1.72745,1.17715,1.62707,0.000667372,0.000667372,0.000667372
108,115.472,1.48393,0.98421,1.26863,0.95381,1,0.99192,0.51728,1.58525,0.86478,1.56333,0.000657941,0.000657941,0.000657941
109,116.552,1.5351,0.96289,1.31647,0.98849,1,0.995,0.53272,1.49956,0.7535,1.50197,0.000648511,0.000648511,0.000648511
110,117.643,1.5082,0.98078,1.23463,0.95877,0.93054,0.98911,0.60809,1.39654,0.74502,1.41568,0.00063908,0.00063908,0.00063908
111,118.723,1.56403,1.01427,1.27163,0.96059,0.97532,0.98885,0.61449,1.36883,0.74353,1.39176,0.00062965,0.00062965,0.00062965
112,119.811,1.47402,0.95126,1.27566,1,0.91272,0.98418,0.552,1.48744,0.75292,1.46919,0.000620219,0.000620219,0.000620219
113,120.893,1.44125,0.8865,1.27508,1,0.91357,0.98526,0.53367,1.5621,0.74679,1.52087,0.000610789,0.000610789,0.000610789
114,121.977,1.43328,0.90743,1.27846,0.98097,1,0.995,0.53492,1.57094,0.71693,1.52057,0.000601358,0.000601358,0.000601358
115,123.049,1.43869,0.90495,1.24989,1,0.99583,0.995,0.56706,1.47452,0.68389,1.45849,0.000591928,0.000591928,0.000591928
116,124.116,1.47286,0.93028,1.24112,0.99337,0.96,0.98948,0.57413,1.4561,0.74814,1.45394,0.000582497,0.000582497,0.000582497
117,125.227,1.47796,0.92693,1.24814,0.95947,0.94737,0.98121,0.58025,1.4781,0.81,1.47012,0.000573067,0.000573067,0.000573067
118,126.333,1.5058,0.93418,1.3015,0.85598,0.95123,0.96479,0.54455,1.56073,0.93165,1.51238,0.000563637,0.000563637,0.000563637
119,127.388,1.45117,0.97335,1.27287,0.92218,0.94837,0.98741,0.52686,1.58185,0.8659,1.52584,0.000554206,0.000554206,0.000554206
120,128.498,1.46458,0.89507,1.25805,0.95374,1,0.99346,0.56443,1.42774,0.74327,1.43851,0.000544776,0.000544776,0.000544776
121,129.565,1.39043,0.89529,1.23352,0.96135,1,0.995,0.55928,1.44453,0.7284,1.45612,0.000535345,0.000535345,0.000535345
122,130.656,1.50679,0.98734,1.28828,0.97383,1,0.995,0.56548,1.44335,0.73117,1.45458,0.000525915,0.000525915,0.000525915
123,131.75,1.44711,0.87238,1.19142,0.94897,1,0.98885,0.57008,1.41583,0.78533,1.42718,0.000516484,0.000516484,0.000516484
124,132.842,1.49971,0.89049,1.23626,0.96113,0.98943,0.98731,0.57514,1.45296,0.79814,1.43303,0.000507054,0.000507054,0.000507054
125,133.94,1.37525,0.85575,1.20939,0.92346,0.96538,0.98564,0.57782,1.47853,0.77012,1.45596,0.000497623,0.000497623,0.000497623
126,135.031,1.45258,0.95392,1.27555,0.92531,0.9914,0.98263,0.55422,1.5041,0.74222,1.48204,0.000488193,0.000488193,0.000488193
127,136.08,1.43093,0.87312,1.21861,0.96116,0.99024,0.99038,0.56404,1.47569,0.71354,1.46491,0.000478762,0.000478762,0.000478762
128,137.19,1.47783,0.93752,1.21517,0.98681,1,0.995,0.60023,1.37603,0.71647,1.40458,0.000469332,0.000469332,0.000469332
129,138.26,1.45304,0.92605,1.28976,1,0.99538,0.995,0.57735,1.41218,0.82534,1.4277,0.000459901,0.000459901,0.000459901
130,139.353,1.4473,0.96577,1.29312,0.77736,0.92,0.94049,0.50326,1.61378,1.24405,1.54727,0.000450471,0.000450471,0.000450471
131,140.436,1.43543,0.92898,1.26102,0.7457,0.93868,0.92138,0.49736,1.65146,1.25394,1.56984,0.000441041,0.000441041,0.000441041
132,141.552,1.48222,0.9342,1.24282,0.91599,0.92,0.97833,0.57993,1.50744,0.79881,1.46458,0.00043161,0.00043161,0.00043161
133,142.632,1.43824,0.89695,1.25358,0.95194,0.92,0.98004,0.59413,1.43778,0.72778,1.42249,0.00042218,0.00042218,0.00042218
134,143.741,1.42917,0.92154,1.25488,0.95924,1,0.99192,0.60197,1.36389,0.6816,1.38983,0.000412749,0.000412749,0.000412749
135,144.823,1.38479,0.86289,1.19223,0.96088,1,0.99346,0.59533,1.38154,0.69093,1.40868,0.000403319,0.000403319,0.000403319
136,145.922,1.38059,0.84641,1.21593,0.9613,0.99378,0.99038,0.56977,1.4764,0.83844,1.46303,0.000393888,0.000393888,0.000393888
137,146.999,1.41501,0.88137,1.21445,0.92529,0.99102,0.98564,0.5643,1.46237,0.87309,1.45788,0.000384458,0.000384458,0.000384458
138,148.088,1.41173,0.87357,1.22368,0.94881,0.96,0.98084,0.6085,1.37217,0.73145,1.4017,0.000375027,0.000375027,0.000375027
139,149.187,1.36036,0.83817,1.20556,0.96151,0.9992,0.98423,0.59177,1.37953,0.6852,1.40974,0.000365597,0.000365597,0.000365597
140,150.291,1.36486,0.84762,1.2118,0.9558,1,0.99038,0.56403,1.43996,0.68615,1.46492,0.000356166,0.000356166,0.000356166
141,151.378,1.39125,0.8688,1.20012,0.96125,1,0.995,0.5596,1.44667,0.66912,1.47077,0.000346736,0.000346736,0.000346736
142,152.461,1.41373,0.88344,1.22959,0.98976,1,0.995,0.58786,1.41607,0.67112,1.42811,0.000337306,0.000337306,0.000337306
143,153.551,1.3983,0.81642,1.18569,0.98244,1,0.995,0.60335,1.41836,0.69108,1.41806,0.000327875,0.000327875,0.000327875
